T,Vgs,Vds,Id,Cgs,Cgd,Cds
350.0,3.0,2.5,0.03169325229297635,1.15e-13,0.0,4.677071733467426e-13
350.0,3.0,3.0,0.031995092791004695,1.15e-13,0.0,4.3495883620084003e-13
375.0,0.0,0.0,0.0,0.0,0.0,1e-12
375.0,0.0,0.5,0.0,0.0,0.0,7.637626158259732e-13
375.0,0.0,1.0,0.0,0.0,0.0,6.416889479197479e-13
375.0,0.0,1.5,0.0,0.0,0.0,5.640760748177662e-13
375.0,0.0,2.0,0.0,0.0,0.0,5.091750772173155e-13
375.0,0.0,2.5,0.0,0.0,0.0,4.677071733467426e-13
375.0,0.0,3.0,0.0,0.0,0.0,4.3495883620084003e-13
375.0,0.5,0.0,0.0,0.0,0.0,1e-12
375.0,0.5,0.5,0.0,0.0,0.0,7.637626158259732e-13
375.0,0.5,1.0,0.0,0.0,0.0,6.416889479197479e-13
375.0,0.5,1.5,0.0,0.0,0.0,5.640760748177662e-13
375.0,0.5,2.0,0.0,0.0,0.0,5.091750772173155e-13
375.0,0.5,2.5,0.0,0.0,0.0,4.677071733467426e-13
375.0,0.5,3.0,0.0,0.0,0.0,4.3495883620084003e-13
375.0,1.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
375.0,1.0,0.5,0.0001402484196167644,1.15e-13,0.0,7.637626158259732e-13
375.0,1.0,1.0,0.00014163701783079176,1.15e-13,0.0,6.416889479197479e-13
375.0,1.0,1.5,0.00014302561604481913,1.15e-13,0.0,5.640760748177662e-13
375.0,1.0,2.0,0.00014441421425884652,1.15e-13,0.0,5.091750772173155e-13
375.0,1.0,2.5,0.0001458028124728739,1.15e-13,0.0,4.677071733467426e-13
375.0,1.0,3.0,0.00014719141068690126,1.15e-13,0.0,4.3495883620084003e-13
375.0,1.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
375.0,1.5,0.5,0.002468619047159769,2.3e-13,1.15e-13,7.637626158259732e-13
375.0,1.5,1.0,0.0026596284459337563,1.15e-13,0.0,6.416889479197479e-13
375.0,1.5,1.5,0.0026857032346193814,1.15e-13,0.0,5.640760748177662e-13
375.0,1.5,2.0,0.0027117780233050066,1.15e-13,0.0,5.091750772173155e-13
375.0,1.5,2.5,0.0027378528119906317,1.15e-13,0.0,4.677071733467426e-13
375.0,1.5,3.0,0.002763927600676257,1.15e-13,0.0,4.3495883620084003e-13
375.0,2.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
375.0,2.0,0.5,0.005554392856109479,2.3e-13,1.15e-13,7.637626158259732e-13
375.0,2.0,1.0,0.008023011903269248,2.3e-13,1.15e-13,6.416889479197479e-13
375.0,2.0,1.5,0.008406727876412145,1.15e-13,0.0,5.640760748177662e-13
375.0,2.0,2.0,0.008488346593658864,1.15e-13,0.0,5.091750772173155e-13
375.0,2.0,2.5,0.008569965310905585,1.15e-13,0.0,4.677071733467426e-13
375.0,2.0,3.0,0.008651584028152304,1.15e-13,0.0,4.3495883620084003e-13
375.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
375.0,2.5,0.5,0.00864016666505919,2.3e-13,1.15e-13,7.637626158259732e-13
375.0,2.5,1.0,0.01419455952116867,2.3e-13,1.15e-13,6.416889479197479e-13
375.0,2.5,1.5,0.016663178568328434,2.3e-13,1.15e-13,5.640760748177662e-13
375.0,2.5,2.0,0.017474119925320424,1.15e-13,0.0,5.091750772173155e-13
375.0,2.5,2.5,0.017642140309217735,1.15e-13,0.0,4.677071733467426e-13
375.0,2.5,3.0,0.017810160693115046,1.15e-13,0.0,4.3495883620084003e-13
375.0,3.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
375.0,3.0,0.5,0.0117259404740089,2.3e-13,1.15e-13,7.637626158259732e-13
375.0,3.0,1.0,0.02036610713906809,2.3e-13,1.15e-13,6.416889479197479e-13
375.0,3.0,1.5,0.02592049999517757,2.3e-13,1.15e-13,5.640760748177662e-13
375.0,3.0,2.0,0.02838911904233734,2.3e-13,1.15e-13,5.091750772173155e-13
